,year,month,month_sin,month_cos,buying_sessions,label,spent_money,spent_money_first_month,spent_money_second_month,buying_events_first_month,buying_events_second_month,all_events_first_month,all_events_second_month
90,2022,3,1.0,6.123233995736766e-17,3.0,0.0,1099.0,0.0,429.0,0.0,0.0,0.0,0.0
91,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,1099.0,0.0,429.0,0.0,0.0,11.0,0.0
94,2022,1,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
95,2022,2,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,246.99,0.0,0.0,0.0,0.0,0.0,5.0
103,2022,3,1.0,6.123233995736766e-17,3.0,0.0,246.99,0.0,0.0,0.0,0.0,0.0,0.0
109,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,246.99,0.0,0.0,0.0,0.0,1.0,0.0
111,2022,3,1.0,6.123233995736766e-17,5.0,0.0,1766.8899999999999,792.9,878.99,0.0,0.0,0.0,0.0
112,2022,2,0.8660254037844386,0.5000000000000001,5.0,0.0,1766.8899999999999,792.9,878.99,0.0,2.0,0.0,8.0
113,2022,1,0.49999999999999994,0.8660254037844387,5.0,0.0,1766.8899999999999,792.9,878.99,2.0,0.0,11.0,0.0
119,2022,3,1.0,6.123233995736766e-17,4.0,0.0,1477.99,0.0,1400.99,0.0,0.0,0.0,0.0
120,2022,1,0.49999999999999994,0.8660254037844387,4.0,0.0,1477.99,0.0,1400.99,0.0,0.0,2.0,0.0
121,2022,2,0.8660254037844386,0.5000000000000001,4.0,0.0,1477.99,0.0,1400.99,0.0,3.0,0.0,17.0
126,2022,3,1.0,6.123233995736766e-17,5.0,1.0,1549.0,699.0,0.0,0.0,0.0,0.0,0.0
128,2022,1,0.49999999999999994,0.8660254037844387,5.0,1.0,1549.0,699.0,0.0,1.0,0.0,12.0,0.0
129,2022,2,0.8660254037844386,0.5000000000000001,5.0,1.0,1549.0,699.0,0.0,0.0,0.0,0.0,0.0
140,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,997.99,898.0,99.99,0.0,1.0,0.0,6.0
141,2022,3,1.0,6.123233995736766e-17,3.0,0.0,997.99,898.0,99.99,0.0,0.0,0.0,0.0
142,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,997.99,898.0,99.99,2.0,0.0,8.0,0.0
146,2022,3,1.0,6.123233995736766e-17,3.0,0.0,145.99,0.0,145.99,0.0,0.0,0.0,0.0
150,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,145.99,0.0,145.99,0.0,2.0,0.0,13.0
151,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,145.99,0.0,145.99,0.0,0.0,2.0,0.0
159,2022,1,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
162,2022,1,0.49999999999999994,0.8660254037844387,2.0,0.0,319.0,319.0,0.0,1.0,0.0,18.0,0.0
166,2022,1,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
168,2022,1,0.49999999999999994,0.8660254037844387,5.0,1.0,447.93,118.94,0.0,2.0,0.0,6.0,0.0
169,2022,2,0.8660254037844386,0.5000000000000001,5.0,1.0,447.93,118.94,0.0,0.0,0.0,0.0,4.0
171,2022,3,1.0,6.123233995736766e-17,5.0,1.0,447.93,118.94,0.0,0.0,0.0,0.0,0.0
172,2022,1,0.49999999999999994,0.8660254037844387,2.0,0.0,799.0,0.0,799.0,0.0,0.0,0.0,0.0
173,2022,2,0.8660254037844386,0.5000000000000001,2.0,0.0,799.0,0.0,799.0,0.0,1.0,0.0,13.0
174,2022,3,1.0,6.123233995736766e-17,2.0,0.0,799.0,0.0,799.0,0.0,0.0,0.0,0.0
176,2022,3,1.0,6.123233995736766e-17,2.0,0.0,809.1,0.0,809.1,0.0,0.0,0.0,0.0
177,2022,1,0.49999999999999994,0.8660254037844387,2.0,0.0,809.1,0.0,809.1,0.0,0.0,0.0,0.0
180,2022,2,0.8660254037844386,0.5000000000000001,2.0,0.0,809.1,0.0,809.1,0.0,2.0,0.0,19.0
181,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,113.8,0.0,54.8,0.0,1.0,0.0,21.0
182,2022,3,1.0,6.123233995736766e-17,3.0,0.0,113.8,0.0,54.8,0.0,0.0,0.0,0.0
185,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,113.8,0.0,54.8,0.0,0.0,1.0,0.0
198,2022,1,0.49999999999999994,0.8660254037844387,2.0,0.0,129.0,0.0,129.0,0.0,0.0,9.0,0.0
199,2022,3,1.0,6.123233995736766e-17,2.0,0.0,129.0,0.0,129.0,0.0,0.0,0.0,0.0
201,2022,2,0.8660254037844386,0.5000000000000001,2.0,0.0,129.0,0.0,129.0,0.0,1.0,0.0,8.0
211,2022,2,0.8660254037844386,0.5000000000000001,4.0,0.0,806.13,701.14,104.99000000000001,0.0,2.0,0.0,8.0
214,2022,3,1.0,6.123233995736766e-17,4.0,0.0,806.13,701.14,104.99000000000001,0.0,0.0,0.0,0.0
217,2022,1,0.49999999999999994,0.8660254037844387,4.0,0.0,806.13,701.14,104.99000000000001,2.0,0.0,16.0,0.0
223,2022,3,1.0,6.123233995736766e-17,5.0,0.0,1077.98,919.0,0.0,0.0,0.0,0.0,0.0
225,2022,1,0.49999999999999994,0.8660254037844387,5.0,0.0,1077.98,919.0,0.0,3.0,0.0,13.0,0.0
226,2022,2,0.8660254037844386,0.5000000000000001,5.0,0.0,1077.98,919.0,0.0,0.0,0.0,0.0,0.0
237,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,199.0,0.0,199.0,0.0,1.0,0.0,21.0
239,2022,3,1.0,6.123233995736766e-17,1.0,0.0,199.0,0.0,199.0,0.0,0.0,0.0,0.0
245,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,199.0,0.0,199.0,0.0,0.0,2.0,0.0
250,2022,2,0.8660254037844386,0.5000000000000001,6.0,0.0,1073.9,996.9,0.0,0.0,0.0,0.0,9.0
253,2022,3,1.0,6.123233995736766e-17,6.0,0.0,1073.9,996.9,0.0,0.0,0.0,0.0,0.0
257,2022,1,0.49999999999999994,0.8660254037844387,6.0,0.0,1073.9,996.9,0.0,2.0,0.0,23.0,0.0
262,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0
264,2022,3,1.0,6.123233995736766e-17,3.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0
265,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,77.0,77.0,0.0,1.0,0.0,2.0,0.0
273,2022,2,0.8660254037844386,0.5000000000000001,5.0,1.0,241.03,34.9,0.0,0.0,0.0,0.0,11.0
274,2022,1,0.49999999999999994,0.8660254037844387,5.0,1.0,241.03,34.9,0.0,1.0,0.0,4.0,0.0
276,2022,3,1.0,6.123233995736766e-17,5.0,1.0,241.03,34.9,0.0,0.0,0.0,0.0,0.0
283,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,787.99,88.99000000000001,699.0,2.0,0.0,17.0,0.0
285,2022,3,1.0,6.123233995736766e-17,3.0,0.0,787.99,88.99000000000001,699.0,0.0,0.0,0.0,0.0
289,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,787.99,88.99000000000001,699.0,0.0,1.0,0.0,3.0
293,2022,3,1.0,6.123233995736766e-17,5.0,0.0,1916.63,0.0,279.99,0.0,0.0,0.0,0.0
295,2022,2,0.8660254037844386,0.5000000000000001,5.0,0.0,1916.63,0.0,279.99,0.0,1.0,0.0,3.0
296,2022,1,0.49999999999999994,0.8660254037844387,5.0,0.0,1916.63,0.0,279.99,0.0,0.0,0.0,0.0
303,2022,1,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
311,2022,1,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
312,2022,2,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
319,2022,3,1.0,6.123233995736766e-17,4.0,1.0,1048.12,159.99,99.0,0.0,0.0,0.0,0.0
321,2022,1,0.49999999999999994,0.8660254037844387,4.0,1.0,1048.12,159.99,99.0,1.0,0.0,17.0,0.0
322,2022,2,0.8660254037844386,0.5000000000000001,4.0,1.0,1048.12,159.99,99.0,0.0,1.0,0.0,4.0
327,2022,2,0.8660254037844386,0.5000000000000001,3.0,1.0,1089.0,390.0,0.0,0.0,0.0,0.0,2.0
328,2022,1,0.49999999999999994,0.8660254037844387,3.0,1.0,1089.0,390.0,0.0,1.0,0.0,28.0,0.0
329,2022,3,1.0,6.123233995736766e-17,3.0,1.0,1089.0,390.0,0.0,0.0,0.0,0.0,0.0
347,2022,3,1.0,6.123233995736766e-17,5.0,0.0,1468.0,0.0,599.0,0.0,0.0,0.0,0.0
348,2022,1,0.49999999999999994,0.8660254037844387,5.0,0.0,1468.0,0.0,599.0,0.0,0.0,2.0,0.0
354,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,58.99,0.0,58.99,0.0,0.0,6.0,0.0
358,2022,3,1.0,6.123233995736766e-17,3.0,0.0,58.99,0.0,58.99,0.0,0.0,0.0,0.0
360,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,58.99,0.0,58.99,0.0,1.0,0.0,4.0
361,2022,1,0.49999999999999994,0.8660254037844387,5.0,1.0,1517.0,689.0,0.0,2.0,0.0,18.0,0.0
362,2022,3,1.0,6.123233995736766e-17,5.0,1.0,1517.0,689.0,0.0,0.0,0.0,0.0,0.0
363,2022,2,0.8660254037844386,0.5000000000000001,5.0,1.0,1517.0,689.0,0.0,0.0,0.0,0.0,9.0
377,2022,3,1.0,6.123233995736766e-17,1.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0
379,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,255.0,0.0,0.0,0.0,0.0,9.0,0.0
387,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,908.0,0.0,908.0,0.0,0.0,23.0,0.0
388,2022,3,1.0,6.123233995736766e-17,3.0,0.0,908.0,0.0,908.0,0.0,0.0,0.0,0.0
407,2022,3,1.0,6.123233995736766e-17,4.0,1.0,217.0,45.0,0.0,0.0,0.0,0.0,0.0
410,2022,1,0.49999999999999994,0.8660254037844387,4.0,1.0,217.0,45.0,0.0,1.0,0.0,14.0,0.0
413,2022,2,0.8660254037844386,0.5000000000000001,4.0,1.0,217.0,45.0,0.0,0.0,0.0,0.0,4.0
418,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,293.98,179.99,45.0,0.0,1.0,0.0,10.0
419,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,293.98,179.99,45.0,1.0,0.0,8.0,0.0
420,2022,3,1.0,6.123233995736766e-17,3.0,0.0,293.98,179.99,45.0,0.0,0.0,0.0,0.0
429,2022,1,0.49999999999999994,0.8660254037844387,4.0,0.0,547.09,0.0,479.0,0.0,0.0,7.0,0.0
430,2022,3,1.0,6.123233995736766e-17,4.0,0.0,547.09,0.0,479.0,0.0,0.0,0.0,0.0
431,2022,2,0.8660254037844386,0.5000000000000001,4.0,0.0,547.09,0.0,479.0,0.0,1.0,0.0,19.0
439,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,199.99,199.99,0.0,0.0,0.0,0.0,0.0
440,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,199.99,199.99,0.0,1.0,0.0,7.0,0.0
442,2022,3,1.0,6.123233995736766e-17,1.0,0.0,199.99,199.99,0.0,0.0,0.0,0.0,0.0
447,2022,1,0.49999999999999994,0.8660254037844387,2.0,0.0,130.39000000000001,58.99,0.0,1.0,0.0,4.0,0.0
448,2022,3,1.0,6.123233995736766e-17,2.0,0.0,130.39000000000001,58.99,0.0,0.0,0.0,0.0,0.0
451,2022,2,0.8660254037844386,0.5000000000000001,2.0,0.0,130.39000000000001,58.99,0.0,0.0,0.0,0.0,10.0
457,2022,3,1.0,6.123233995736766e-17,1.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
458,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,77.0,0.0,0.0,0.0,0.0,1.0,0.0
463,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
466,2022,3,1.0,6.123233995736766e-17,1.0,0.0,43.99,0.0,0.0,0.0,0.0,0.0,0.0
469,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,43.99,0.0,0.0,0.0,0.0,0.0,4.0
471,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,43.99,0.0,0.0,0.0,0.0,0.0,0.0
473,2022,2,0.8660254037844386,0.5000000000000001,8.0,0.0,2080.36,1347.0,0.0,0.0,0.0,0.0,0.0
474,2022,3,1.0,6.123233995736766e-17,8.0,0.0,2080.36,1347.0,0.0,0.0,0.0,0.0,0.0
477,2022,1,0.49999999999999994,0.8660254037844387,8.0,0.0,2080.36,1347.0,0.0,3.0,0.0,14.0,0.0
480,2022,3,1.0,6.123233995736766e-17,3.0,0.0,394.99,59.0,335.99,0.0,0.0,0.0,0.0
481,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,394.99,59.0,335.99,1.0,0.0,33.0,0.0
482,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,394.99,59.0,335.99,0.0,2.0,0.0,12.0
486,2022,3,1.0,6.123233995736766e-17,3.0,1.0,1052.73,422.99,0.0,0.0,0.0,0.0,0.0
487,2022,1,0.49999999999999994,0.8660254037844387,3.0,1.0,1052.73,422.99,0.0,2.0,0.0,13.0,0.0
489,2022,2,0.8660254037844386,0.5000000000000001,3.0,1.0,1052.73,422.99,0.0,0.0,0.0,0.0,14.0
496,2022,2,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
498,2022,3,1.0,6.123233995736766e-17,2.0,1.0,1648.0,799.0,0.0,0.0,0.0,0.0,0.0
499,2022,2,0.8660254037844386,0.5000000000000001,2.0,1.0,1648.0,799.0,0.0,0.0,0.0,0.0,1.0
501,2022,1,0.49999999999999994,0.8660254037844387,2.0,1.0,1648.0,799.0,0.0,1.0,0.0,8.0,0.0
505,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,680.0,680.0,0.0,0.0,0.0,0.0,0.0
506,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,680.0,680.0,0.0,1.0,0.0,3.0,0.0
508,2022,3,1.0,6.123233995736766e-17,1.0,0.0,680.0,680.0,0.0,0.0,0.0,0.0,0.0
512,2022,1,0.49999999999999994,0.8660254037844387,2.0,1.0,715.0,45.0,0.0,1.0,0.0,7.0,0.0
513,2022,3,1.0,6.123233995736766e-17,2.0,1.0,715.0,45.0,0.0,0.0,0.0,0.0,0.0
516,2022,2,0.8660254037844386,0.5000000000000001,2.0,1.0,715.0,45.0,0.0,0.0,0.0,0.0,0.0
519,2022,3,1.0,6.123233995736766e-17,3.0,0.0,1640.0,0.0,680.0,0.0,0.0,0.0,0.0
520,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,1640.0,0.0,680.0,0.0,1.0,0.0,6.0
521,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,1640.0,0.0,680.0,0.0,0.0,9.0,0.0
525,2022,3,1.0,6.123233995736766e-17,1.0,0.0,29.99,0.0,29.99,0.0,0.0,0.0,0.0
526,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,29.99,0.0,29.99,0.0,1.0,0.0,17.0
528,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,29.99,0.0,29.99,0.0,0.0,12.0,0.0
532,2022,2,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
538,2022,3,1.0,6.123233995736766e-17,1.0,0.0,43.99,0.0,43.99,0.0,0.0,0.0,0.0
539,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,43.99,0.0,43.99,0.0,0.0,11.0,0.0
541,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,43.99,0.0,43.99,0.0,1.0,0.0,11.0
543,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,619.99,619.99,0.0,1.0,0.0,5.0,0.0
544,2022,3,1.0,6.123233995736766e-17,1.0,0.0,619.99,619.99,0.0,0.0,0.0,0.0,0.0
546,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,619.99,619.99,0.0,0.0,0.0,0.0,0.0
550,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,35.99,0.0,35.99,0.0,1.0,0.0,14.0
551,2022,3,1.0,6.123233995736766e-17,1.0,0.0,35.99,0.0,35.99,0.0,0.0,0.0,0.0
552,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,35.99,0.0,35.99,0.0,0.0,0.0,0.0
554,2022,2,0.8660254037844386,0.5000000000000001,4.0,0.0,366.98,249.0,0.0,0.0,0.0,0.0,1.0
555,2022,1,0.49999999999999994,0.8660254037844387,4.0,0.0,366.98,249.0,0.0,1.0,0.0,12.0,0.0
556,2022,3,1.0,6.123233995736766e-17,4.0,0.0,366.98,249.0,0.0,0.0,0.0,0.0,0.0
557,2022,2,0.8660254037844386,0.5000000000000001,2.0,0.0,99.99,99.99,0.0,0.0,0.0,0.0,0.0
558,2022,1,0.49999999999999994,0.8660254037844387,2.0,0.0,99.99,99.99,0.0,1.0,0.0,6.0,0.0
559,2022,3,1.0,6.123233995736766e-17,2.0,0.0,99.99,99.99,0.0,0.0,0.0,0.0,0.0
560,2022,3,1.0,6.123233995736766e-17,2.0,0.0,628.99,0.0,628.99,0.0,0.0,0.0,0.0
561,2022,2,0.8660254037844386,0.5000000000000001,2.0,0.0,628.99,0.0,628.99,0.0,2.0,0.0,20.0
564,2022,2,0.8660254037844386,0.5000000000000001,4.0,0.0,1426.99,0.0,630.0,0.0,1.0,0.0,5.0
566,2022,3,1.0,6.123233995736766e-17,4.0,0.0,1426.99,0.0,630.0,0.0,0.0,0.0,0.0
573,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
575,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,69.0,69.0,0.0,0.0,0.0,0.0,2.0
576,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,69.0,69.0,0.0,1.0,0.0,11.0,0.0
578,2022,3,1.0,6.123233995736766e-17,1.0,0.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0
583,2022,3,1.0,6.123233995736766e-17,2.0,0.0,138.99,138.99,0.0,0.0,0.0,0.0,0.0
584,2022,2,0.8660254037844386,0.5000000000000001,2.0,0.0,138.99,138.99,0.0,0.0,0.0,0.0,0.0
590,2022,3,1.0,6.123233995736766e-17,2.0,0.0,216.0,0.0,139.0,0.0,0.0,0.0,0.0
591,2022,2,0.8660254037844386,0.5000000000000001,2.0,0.0,216.0,0.0,139.0,0.0,1.0,0.0,7.0
603,2022,3,1.0,6.123233995736766e-17,1.0,0.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0
604,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0
610,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,95.0,95.0,0.0,1.0,0.0,3.0,0.0
611,2022,3,1.0,6.123233995736766e-17,7.0,0.0,1453.79,394.0,852.8,0.0,0.0,0.0,0.0
613,2022,1,0.49999999999999994,0.8660254037844387,7.0,0.0,1453.79,394.0,852.8,2.0,0.0,5.0,0.0
614,2022,2,0.8660254037844386,0.5000000000000001,7.0,0.0,1453.79,394.0,852.8,0.0,3.0,0.0,21.0
617,2022,2,0.8660254037844386,0.5000000000000001,8.0,1.0,2338.89,763.0,293.9,0.0,2.0,0.0,20.0
619,2022,3,1.0,6.123233995736766e-17,8.0,1.0,2338.89,763.0,293.9,0.0,0.0,0.0,0.0
620,2022,1,0.49999999999999994,0.8660254037844387,8.0,1.0,2338.89,763.0,293.9,3.0,0.0,28.0,0.0
623,2022,1,0.49999999999999994,0.8660254037844387,4.0,0.0,1037.99,938.0,99.99,2.0,0.0,26.0,0.0
624,2022,2,0.8660254037844386,0.5000000000000001,4.0,0.0,1037.99,938.0,99.99,0.0,1.0,0.0,2.0
627,2022,3,1.0,6.123233995736766e-17,4.0,0.0,1037.99,938.0,99.99,0.0,0.0,0.0,0.0
628,2022,2,0.8660254037844386,0.5000000000000001,5.0,1.0,2042.03,449.0,655.3,0.0,1.0,0.0,8.0
629,2022,3,1.0,6.123233995736766e-17,5.0,1.0,2042.03,449.0,655.3,0.0,0.0,0.0,0.0
631,2022,1,0.49999999999999994,0.8660254037844387,5.0,1.0,2042.03,449.0,655.3,1.0,0.0,18.0,0.0
632,2022,2,0.8660254037844386,0.5000000000000001,5.0,1.0,1335.3,680.0,0.0,0.0,0.0,0.0,7.0
635,2022,1,0.49999999999999994,0.8660254037844387,5.0,1.0,1335.3,680.0,0.0,1.0,0.0,2.0,0.0
637,2022,3,1.0,6.123233995736766e-17,3.0,0.0,368.0,0.0,368.0,0.0,0.0,0.0,0.0
638,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,368.0,0.0,368.0,0.0,2.0,0.0,11.0
639,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,368.0,0.0,368.0,0.0,0.0,7.0,0.0
642,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,37.9,0.0,37.9,0.0,0.0,7.0,0.0
643,2022,3,1.0,6.123233995736766e-17,1.0,0.0,37.9,0.0,37.9,0.0,0.0,0.0,0.0
644,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,37.9,0.0,37.9,0.0,1.0,0.0,6.0
649,2022,2,0.8660254037844386,0.5000000000000001,5.0,1.0,1657.58,29.38,948.2,0.0,3.0,0.0,34.0
652,2022,3,1.0,6.123233995736766e-17,5.0,1.0,1657.58,29.38,948.2,0.0,0.0,0.0,0.0
653,2022,1,0.49999999999999994,0.8660254037844387,5.0,1.0,1657.58,29.38,948.2,1.0,0.0,15.0,0.0
656,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,1187.73,0.0,1187.73,0.0,0.0,3.0,0.0
657,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,1187.73,0.0,1187.73,0.0,3.0,0.0,9.0
658,2022,3,1.0,6.123233995736766e-17,3.0,0.0,1187.73,0.0,1187.73,0.0,0.0,0.0,0.0
674,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,43.99,0.0,43.99,0.0,0.0,0.0,0.0
675,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,43.99,0.0,43.99,0.0,1.0,0.0,10.0
684,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,35.99,0.0,35.99,0.0,0.0,11.0,0.0
712,2022,1,0.49999999999999994,0.8660254037844387,7.0,0.0,1323.54,428.54,416.0,3.0,0.0,25.0,0.0
714,2022,3,1.0,6.123233995736766e-17,7.0,0.0,1323.54,428.54,416.0,0.0,0.0,0.0,0.0
723,2022,3,1.0,6.123233995736766e-17,4.0,0.0,701.14,0.0,0.0,0.0,0.0,0.0,0.0
724,2022,1,0.49999999999999994,0.8660254037844387,4.0,0.0,701.14,0.0,0.0,0.0,0.0,0.0,0.0
733,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0
735,2022,3,1.0,6.123233995736766e-17,1.0,0.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0
741,2022,1,0.49999999999999994,0.8660254037844387,5.0,1.0,747.54,69.0,0.0,1.0,0.0,21.0,0.0
743,2022,3,1.0,6.123233995736766e-17,5.0,1.0,747.54,69.0,0.0,0.0,0.0,0.0,0.0
756,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,1036.13,0.0,0.0,0.0,0.0,9.0,0.0
759,2022,3,1.0,6.123233995736766e-17,3.0,0.0,1036.13,0.0,0.0,0.0,0.0,0.0,0.0
